Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002498;;75007;12;1;STV-S;REFECTION_CHAUSSEE;Décroutage  de la chaussée + Tapis;Avenue de Suffren;Entre la place Joffre et la rue de la Fédération;2023-06-06;2023-07-05;BARRAGE_TOTAL;;1;2;;"{""coordinates"": [[[2.3007272612245786, 48.85119969804123], [2.298351893427507, 48.85271575460935], [2.298464867954388, 48.85278352095817], [2.300717290430639, 48.851336531426796], [2.3007867522187673, 48.85131277965305], [2.300880292963085, 48.85131332625799], [2.3007272612245786, 48.85119969804123]]], ""type"": ""Polygon""}";48.851994593866365, 2.2995888179232384
CP002499;822445;75015;13;1;STV-SO 15e;REFECTION_CHAUSSEE;Reprise du pavage sur chaussée + création zone vélos;Rue Fizeau;Entre la rue de Chambéry et la rue de Cherbourg;2023-05-22;2023-06-16;BARRAGE_TOTAL;;2;2;;"{""coordinates"": [[[2.3032854669276555, 48.83080595494344], [2.3033782567658507, 48.83087502794765], [2.3034032212351163, 48.83084090710298], [2.303548413916611, 48.83076465361057], [2.30358370785087, 48.830766763109715], [2.3035088311572602, 48.83070588537145], [2.303337530494365, 48.83079388459845], [2.303286181151143, 48.83080643487433], [2.3032854669276555, 48.83080595494344]]], ""type"": ""Polygon""}";48.83078647327676, 2.3034316492244034
CP002503;819242;75015;13;2;Eau de Paris;ENTRETIEN_RESEAU;Intervention sur chaussée pavés;Place Dupleix;Face au 2 - 6 place Dupleix;2023-07-03;2023-12-29;BARRAGE_TOTAL;Fermeture de la place Dupleix (entre les n°2 et n° 6) depuis la rue Dupleix;2;2;;"{""coordinates"": [[[2.296046112684518, 48.85166386737676], [2.2960514569579358, 48.85166865823595], [2.2964824662466063, 48.8513927844736], [2.296448584346168, 48.85136522039633], [2.296017526885203, 48.8516446633222], [2.296046112684518, 48.85166386737676]]], ""type"": ""Polygon""}";48.85151598006989, 2.2962528398273885
CP002509;;75007;12;1;STV;REFECTION_CHAUSSEE;Travaux de désamiantage + Reprise ponctuelle de fondation;Avenue de Suffren;carrefour Suffren/ avenue Josepph Bouvard;2023-07-17;2023-08-04;SENS_UNIQUE;"En 2 phases
Mise à sens unique de l'avenue de Suffren vers Quai Branly
Mise à double sens du barreau av. Charles Floquet entre av. du Gral Tripier et av. du Docteur Brouardel, ainsi que le tronçon de Joseph Bouvard entre C. Floquet et Pl J. RUEFF";1;2;;"{""coordinates"": [[[2.2958095881097673, 48.85434718710467], [2.2958014537222096, 48.85434713923247], [2.295386928176215, 48.85462116622625], [2.2953017700783938, 48.85460187533738], [2.295240036521471, 48.85465519444956], [2.295264113114722, 48.85467949391761], [2.2952146167260854, 48.854730200501265], [2.295319420791034, 48.854800605255434], [2.2953726570379698, 48.85477407741616], [2.2954863955981204, 48.854785483675556], [2.2959750382288706, 48.854444790453584], [2.2958095881097673, 48.85434718710467]]], ""type"": ""Polygon""}";48.85458899612755, 2.2955874414864503
CP002515;;75008;9;1;SAGP;REAMENAGEMENT_VOIRIE;Elargissement de trottoir;Avenue franklin Roosevelt;"Carrefour Franklin Roosevelt Jean Goujon
Phase 1";2023-07-24;2023-08-08;RESTREINTE;"Maintien de 5,00m sur Jean goujon
Fermeture de la contre allée Franklin D. Roosevelt entre Jean Goujon et impasse d'Antin";2;2;;"{""coordinates"": [[[2.3100117010739734, 48.86710269156231], [2.310093066360021, 48.867103160601665], [2.310117636410889, 48.866783893803266], [2.3096714166495254, 48.866684692368814], [2.309666851229504, 48.86672224345491], [2.3100072974129056, 48.86682083516094], [2.31001166553039, 48.86710537500798], [2.3100117010739734, 48.86710269156231]]], ""type"": ""Polygon""}";48.866866841416815, 2.3099857228265646
CP002522;821095;75015;13;1;Mission vélos;REAMENAGEMENT_VOIRIE;Aménagement voie cyclable;Rue Linois;Entre la place Charles Michels et le quai de Grenelle / André Citroën;2023-07-03;2024-03-05;RESTREINTE;La voie bue est neutralisée pendant les travaux, seule la voie de gauche est circulée;2;2;;"{""coordinates"": [[[2.2818712795883327, 48.84908469537878], [2.281996129995401, 48.849174022171034], [2.282016537190529, 48.84916877633271], [2.284056392012871, 48.84782281600207], [2.2853361305767868, 48.847033271823385], [2.285647327434154, 48.84687944839837], [2.2854658382754325, 48.846768313721434], [2.2818712795883327, 48.84908469537878]]], ""type"": ""Polygon""}";48.84795268395717, 2.2837577541834713
CP001731;695273;75013;14;2;RATP;TRAVAUX_OUVRAGE;Mécanisation de la station de la place d'Italie et dévoiement des concessionnaires.;Boulevard Vincent Auriol;entre la place d'Italie et la rue Albert Bayet;2020-09-14;2023-04-17;RESTREINTE;Travaux par phases, avec modification de la circulation selon les phases.;1;2;;"{""coordinates"": [[[2.3565342230237585, 48.831294047879894], [2.358263322409682, 48.83185896218089], [2.3585773176931224, 48.83145265241965], [2.356419118137489, 48.83073780319138], [2.356220731689173, 48.830999785471484], [2.3565342230237585, 48.831294047879894]]], ""type"": ""Polygon""}";48.831305348070735, 2.357378206425131
CP002021;35429;75015;13;2;GRDF;ENTRETIEN_RESEAU;Renouvellement du réseau Gaz;Rue de La croix Nivert;Au N°148;2022-09-16;2022-12-16;RESTREINTE;Traversée de chaussée en 3 phases, avec maintien d'une voie de 3,00m dans chaque sens pour chaque phase de travaux.;2;2;;"{""coordinates"": [[[[2.2915111389838203, 48.841087452407784], [2.291592971736566, 48.841128130772134], [2.2916773270034434, 48.84106130887654], [2.2915913758001696, 48.84101939472699], [2.2915111389838203, 48.841087452407784]]], [[[2.291592971736566, 48.841128130772134], [2.291592050287187, 48.84112886010034], [2.29159349956246, 48.84112839291638], [2.291592971736566, 48.841128130772134]]]], ""type"": ""MultiPolygon""}";48.841073863344576, 2.2915935419637385
CP002040;426349;75008;9;3;SCI 74 CHAMPS ELYSEES;REHABILITATION_IMMEUBLE;;57 rue de Ponthieu;;2021-06-22;2023-04-30;RESTREINTE;Maintien d'une file de circulation;2;4;;"{""coordinates"": [[[2.3051116917113017, 48.872075843470256], [2.3051237649448435, 48.872090190631106], [2.3052541909453397, 48.87204764074062], [2.305269074020214, 48.87206771502464], [2.30546681585482, 48.87200842309781], [2.305469602510664, 48.871961800228114], [2.3054625786311185, 48.87194748239931], [2.3050981571278077, 48.872062915981154], [2.3051116917113017, 48.872075843470256]]], ""type"": ""Polygon""}";48.872021313673976, 2.305312573192205
CP002398;449568;75019;10;2;RTE;ENTRETIEN_RESEAU;Travaux réseaux RTE sur chaussée;Boulevard Serrurier;Entre le n° 125 & 145 et 108 & 112 bd Serrurier + rue Toulouse;2022-10-17;2023-12-29;RESTREINTE;3,00 ml minimum de chaque cotés conservées pour circulation des  Bus + VL + Vélos sur les 2 phases;2;2;;"{""coordinates"": [[[2.394833453848814, 48.883410333675684], [2.39434400334598, 48.88490286950081], [2.3943333356098586, 48.88512022267405], [2.394485922168842, 48.88529814060146], [2.394495871524278, 48.88514251702586], [2.3945286471004312, 48.885123894094946], [2.3945775153387436, 48.885121457625516], [2.3947921450155096, 48.885213799825515], [2.3948417293343214, 48.885149633667595], [2.394526169657559, 48.88498699543329], [2.394979425969335, 48.883456700488786], [2.394833453848814, 48.883410333675684]]], ""type"": ""Polygon""}";48.884411282607964, 2.3946298040523297
CP002405;565102;75014;12;2;grdf;ENTRETIEN_RESEAU;Renouvellement réseau gaz pour la future station de carburant Total;Av. Ernest Reyer & rue Légion étrangère;"av. Ernest Reyer : traversée au niveau du n°43
rue Légion étrangère : à proximité des quais bus";2022-10-24;2022-12-16;RESTREINTE;Phasages avec 1 voie sur 2 circulée sur E. Reyer et L. Etrangère;2;2;;"{""coordinates"": [[[2.3243464593729315, 48.82234716483746], [2.3243647803632865, 48.822348306240464], [2.3242884803293253, 48.82211824143141], [2.3242970311635616, 48.821875569117125], [2.3244383985384083, 48.82167291059828], [2.3246619508584248, 48.82152425718029], [2.324935133567113, 48.8214389437034], [2.324926295290555, 48.8214258059992], [2.3246459361862812, 48.82150869916075], [2.324416264214102, 48.8216657703679], [2.3242713221136966, 48.82187163564358], [2.3242640926766724, 48.82211585786418], [2.3243464593729315, 48.82234716483746]]], ""type"": ""Polygon""}";48.8218111825158, 2.3244490745743813
CP002409;721237;75016;9;1;MDP - DVD - MV;REAMENAGEMENT_VOIRIE;Pérennisation piste cyclable (Ph4);Avenue de St Oeun;Entre la rue Leibniz et le bd Ney;2022-10-06;2022-12-02;SENS_UNIQUE;"Barrage côté pair (132-156)
Barrage côté impair (125-153)
3.50ml pour Bus + contre sens vélos sur les 2 phases";1;2;;"{""coordinates"": [[[2.3289845909542746, 48.89735605124647], [2.3284912779147895, 48.8959211574386], [2.328491323950408, 48.89591758829028], [2.328437522353241, 48.895917591466684], [2.3288964547014355, 48.89733414277406], [2.3289845909542746, 48.89735605124647]]], ""type"": ""Polygon""}";48.896681810602686, 2.3287190767701818
CP002425;761044;75007;12;1;DVD - MV;REAMENAGEMENT_VOIRIE;Aménagement  piste cyclable;Boulevard des Invalides;Entre les rues de Grenelle et Varenne;2022-11-21;2023-04-05;RESTREINTE;Travaux principalement dans la contre-allée avec des traversées piétonnes phasées au 17 bd Invalides et 61 rue Varenne;2;2;;"{""coordinates"": [[[2.3153189688615576, 48.8578919350281], [2.315129402556937, 48.85622132208291], [2.314771087602544, 48.85624879657782], [2.314957244843304, 48.857868391847845], [2.3153189688615576, 48.8578919350281]]], ""type"": ""Polygon""}";48.857056686557115, 2.3150450011004136
CP002458;;75010;11;2;CPCU;TRAVAUX_OUVRAGE;Base vie pour travaux réseaux chauffage urbain;Rue Maubeuge;Entre les n°89 et 95 rue Maubeuge;2023-02-27;2023-04-07;RESTREINTE;Proche de l'emprise située en face au n° 108;2;2;;"{""coordinates"": [[[2.3530272139752206, 48.88097497285424], [2.353438891689871, 48.881234181630596], [2.3534607142377353, 48.88122002260272], [2.3530633050053007, 48.88097397807048], [2.3530272139752206, 48.88097497285424]]], ""type"": ""Polygon""}";48.88110430867077, 2.3532530063799224
CP002490;821304;75018;9;1;DVD - M.V;REAMENAGEMENT_VOIRIE;Pérennisation piste cyclable;Place Albert Kahn;1/2 place coté pair;2023-05-09;2023-06-07;RESTREINTE;Travaux en 3 phases sans barrage et accès au kiosque;2;2;;"{""coordinates"": [[[2.3461308986740024, 48.89608038290089], [2.346239185901097, 48.896078594497986], [2.3463531551737167, 48.89605542241397], [2.346422241064942, 48.896014159179515], [2.346498813238913, 48.895951521258816], [2.3465616518303687, 48.89583289135184], [2.3465392711598847, 48.895747109026615], [2.3464789862024658, 48.89566230964828], [2.3461308986740024, 48.89608038290089]]], ""type"": ""Polygon""}";48.89590378888846, 2.3463850677904725
CP002494;819323 et 82257;75006;12;1;Mission vélos DVD;REAMENAGEMENT_VOIRIE;Pérennisation piste vélos Phase 3;Boulevard Saint Michel;entre la rue des Ecoles et la rue Saint Séverin;2023-05-02;2023-07-25;RESTREINTE;Travaux par phases;2;2;;"{""coordinates"": [[[2.3424738564803356, 48.850189764399296], [2.343741214530667, 48.85294649373061], [2.3439047824095876, 48.85288294296272], [2.3426376895887864, 48.85010473465388], [2.3424738564803356, 48.850189764399296]]], ""type"": ""Polygon""}";48.85151916298735, 2.343184078216607
CP002516;;75008;9;1;SAGP;REAMENAGEMENT_VOIRIE;;Avenue du Général Eisenhower;"Entre av. de Selves et le N°3
Phase 3";2023-08-08;2023-09-21;IMPASSE;Mise en impasse entre Selves et F.D. Roosevelt et Mise en impasse entre le N°3 et Winston Churchill;2;2;;"{""coordinates"": [[[2.312621281100819, 48.86739993738277], [2.3126114339924744, 48.86732611555085], [2.312258272076218, 48.86730267151392], [2.311837465536049, 48.86721221033693], [2.3117493875093014, 48.86719028774628], [2.311751925464223, 48.86727120664687], [2.3121672593016442, 48.8673663951081], [2.312314830284158, 48.86738984906216], [2.312502263331858, 48.86739925379097], [2.312619446299445, 48.86740230651538], [2.312621281100819, 48.86739993738277]]], ""type"": ""Polygon""}";48.86731592755759, 2.312183462466626
CP002519;828067;75013;14;1;Mission vélo;REAMENAGEMENT_VOIRIE;Aménagement piste cyclable en 4 phases;Avenue de Choisy;Entre place d'Italie et rue de Tolbiac;2023-06-19;2023-11-28;RESTREINTE;3.50ml restant à la circulation pendant les travaux;2;2;;"{""coordinates"": [[[2.359868278020925, 48.826381566345596], [2.3597262501746714, 48.82633710719718], [2.3563129645378456, 48.83061125332895], [2.356458252639084, 48.830666765550376], [2.359868278020925, 48.826381566345596]]], ""type"": ""Polygon""}";48.82852264141778, 2.3580727556958796
CP000139;;75013;14;3;SEMAPA;REAMENAGEMENT_SECTEUR;;Secteur quai d'Ivry;;2012-01-01;2023-12-29;RESTREINTE;Réduction de la circulation selon les phases;2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv opé SEG11 BEC Bruneseau - 13ème.pdf;"{""coordinates"": [[[2.3860404109399274, 48.827260459509624], [2.3890097338621885, 48.82510049591564], [2.381913601308459, 48.82268480304112], [2.37972501346501, 48.824789551026136], [2.3825605342736855, 48.82574947645587], [2.3860404109399274, 48.827260459509624]]], ""type"": ""Polygon""}";48.824945580960076, 2.3842844398277654
CP001891;223273;75014;12;3;RIVP;REHABILITATION_IMMEUBLE;Démolition et  reconstruction;rue Dareau;18 au 24;2021-04-06;2023-04-30;RESTREINTE;Maintien de 4,50m de Circulation dont 1,00 m de Contre sens cyclable;2;2;;"{""coordinates"": [[[2.3377176418420014, 48.83141050149967], [2.3377879600792495, 48.83142162757378], [2.3378170992491722, 48.83136810444416], [2.3377947168866107, 48.83132147124956], [2.3373307808305195, 48.83112915370966], [2.3372350016772074, 48.831166616106195], [2.3374417753310595, 48.83125222547996], [2.337428645630312, 48.83126413329172], [2.3377176418420014, 48.83141050149967]]], ""type"": ""Polygon""}";48.83127720631899, 2.3375635009286895
CP002437;766985;75015;13;3;SCI ACM COTENTIN;REHABILITATION_IMMEUBLE;;rue de l'Armorique;Au 21-23;2022-12-19;2024-04-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.3147888672474264, 48.839148161191275], [2.3146942819603478, 48.83915856466446], [2.3147163713162477, 48.839288140962445], [2.3148139098236094, 48.83927251826303], [2.3147903037512862, 48.83914864518603], [2.3147888672474264, 48.839148161191275]]], ""type"": ""Polygon""}";48.839217125673386, 2.3147534341288774
CP001477;;75008;9;2;SNCF EOLE;CREATION_ENTRETIEN_OUVRAGE_ART;Création d'un puits de service, travaux préparatoire du 26/08/19 au 30/08/19;Avenue de Messine;du n°2 au n°16;2019-08-26;2023-02-28;RESTREINTE;Maintien d'un file de circulation au droit de l'emprise.;2;2;;"{""coordinates"": [[[2.313937384330044, 48.876027117035385], [2.313974930275214, 48.87605231674796], [2.3147188488919417, 48.875718687897425], [2.3147518291249445, 48.875679615138374], [2.3149239838360867, 48.87561873314292], [2.3152027820559806, 48.875540614522286], [2.315195329178253, 48.87542159738105], [2.3151719609046855, 48.87541551456593], [2.3148206587351954, 48.87552058234331], [2.3138445376667494, 48.87595519984275], [2.313937384330044, 48.876027117035385]]], ""type"": ""Polygon""}";48.87572980964821, 2.314529093609444
CP001902;346412;75006;12;3;AGB;REHABILITATION_IMMEUBLE;;Rue du Vieux Colombier;Du N°1 au N°3;2021-03-22;2023-08-18;RESTREINTE;Maintien de 3,50 m dans chaque sens.;2;2;;"{""coordinates"": [[[2.3324339970175396, 48.851255193488136], [2.3324351561794523, 48.8512575787558], [2.3324408310573466, 48.851284583044304], [2.3323229291009757, 48.85129264624187], [2.332346478634616, 48.85133164787688], [2.332615936528021, 48.85131331764944], [2.3326128488843483, 48.85127284823409], [2.3324841373962704, 48.85128164812619], [2.3324784929782916, 48.85125226431012], [2.3324339970175396, 48.851255193488136]]], ""type"": ""Polygon""}";48.85129888249479, 2.3324729614938358
CP002372;;75005;12;2;CPCU;ENTRETIEN_RESEAU;Fiabilisation du réseau;Pont d'Austerlitz;de la place Valhubert à la place Mazas;2022-08-01;2023-10-31;RESTREINTE;neutralisation des deux couloirs de bus;2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv CH401 Pl Valhubert 5ème.pdf;"{""coordinates"": [[[2.365045316944088, 48.84434550996803], [2.3673487726733176, 48.84563056119866], [2.3673897165934905, 48.84560929472955], [2.367527779671854, 48.845631507681105], [2.367895169833956, 48.84553140635419], [2.3678800042209778, 48.845440025127296], [2.367667147446691, 48.845546313369475], [2.3673738347521405, 48.845576986727345], [2.3651356046132865, 48.84428154100932], [2.365045316944088, 48.84434550996803]]], ""type"": ""Polygon""}";48.84499129973645, 2.36633379785677
CP002455;765541;75015;13;2;CPCU;CREATION_RESEAUX;Création canalisation chauffage urbain;Rue de Vaugirard;Entre les n° 156 et 164 (coté pair);2023-01-30;2023-04-28;RESTREINTE;Piste cyclable déviée dans la circulation générale;2;2;;"{""coordinates"": [[[2.313988546143354, 48.84341497118011], [2.313996853178081, 48.84337734259612], [2.312911898584335, 48.84304233767827], [2.3128953475311524, 48.8430672279002], [2.313981539431601, 48.843399463712316], [2.313988546143354, 48.84341497118011]]], ""type"": ""Polygon""}";48.84321963970753, 2.313439874033886
CP002481;763992;75012;14;;Fraicheur de ¨Paris;CREATION_RESEAUX;Raccordement réseau climatisation pour Opéra Bastille;Rue de Lyon & Bd Diderot;1 rue de Lyon et du 17 au 21 boulevard Diderot;2023-04-24;2023-08-21;RESTREINTE;Travaux en phasages pour permettre la circulation dans les voies concernées;2;2;;"{""coordinates"": [[[2.3721810721145626, 48.84599789949802], [2.372411197619533, 48.846049077032326], [2.3724889973748073, 48.845875777747246], [2.3726181837203226, 48.84562660191988], [2.3715381318576956, 48.8454983856748], [2.3714605590733777, 48.84565264978988], [2.372146370592629, 48.84573596643541], [2.372198329841577, 48.845762414026346], [2.372242720208878, 48.84581856634729], [2.372247626640049, 48.845860234167446], [2.3722458239712965, 48.8458602247085], [2.3721810721145626, 48.84599789949802]]], ""type"": ""Polygon""}";48.84570989807212, 2.3721267855502117
CP002482;;75015;13;2;CPCU;TRAVAUX_OUVRAGE;;rue de la Convention;du 54 au 56;2023-04-03;2023-06-16;RESTREINTE;Maintien de 3,00 m dans chaque sens;;2;;"{""coordinates"": [[[2.2820328445477465, 48.84371501717107], [2.2820920633031037, 48.84373440859408], [2.2825422282719794, 48.84353428992258], [2.2825032379012384, 48.84350327968509], [2.282031041970642, 48.8437150063528], [2.2820328445477465, 48.84371501717107]]], ""type"": ""Polygon""}";48.84362091930238, 2.2822935477969173
CP002483;;75005;12;3;SNC Paris Austerlitz A7A8;INSPECTION_ENTRETIEN_RESEAU;Travaux de rejet des eaux d'Exhaures;Place Valhubert;Au niveau du giratoire;2023-04-24;2023-05-22;RESTREINTE;Maintien de 8,50m;2;2;;"{""coordinates"": [[[[2.3646973250975876, 48.844082428072156], [2.364791602055229, 48.84416281974683], [2.3648897971735545, 48.844086305505066], [2.3648557112764648, 48.844043292516496], [2.364854622146538, 48.84401425628766], [2.3648042432006227, 48.84394736150479], [2.3646973250975876, 48.844082428072156]]], [[[2.364791602055229, 48.84416281974683], [2.3647915222620166, 48.84416288227839], [2.3647922372347083, 48.84416336183612], [2.364791602055229, 48.84416281974683]]]], ""type"": ""MultiPolygon""}";48.844063721679625, 2.3647956325364503
CP001953;;75013;14;2;RATP;TRAVAUX_OUVRAGE;Installation de Base vie pour travaux de création accès RATP;Place d'Italie;Entre bd de l'Hôpital et rue Godefroy;2021-05-06;2023-06-30;RESTREINTE;"Maintien d'une voie de circulation + le contre sens cyclable.
Neutralisation de tout le stationnement";2;2;;"{""coordinates"": [[[2.356266323736409, 48.832131871258746], [2.3566070394038077, 48.831867971158424], [2.3565423232362575, 48.83184078128571], [2.356251089288553, 48.832048579498334], [2.356266323736409, 48.832131871258746]]], ""type"": ""Polygon""}";48.831977580866756, 2.356411378260549
CP002211;;75002;11;3;DUMEZ;REHABILITATION_IMMEUBLE;;Rue Montmartre;au N°176;2021-12-16;2023-06-30;RESTREINTE;Maintien de 3.50m de circulation;2;2;;"{""coordinates"": [[[2.3430233991220626, 48.87104128492596], [2.342982870885796, 48.87105153259212], [2.342958890962621, 48.87106520223949], [2.3430013170129125, 48.87119059719807], [2.343040355056256, 48.8711841482545], [2.3430273801199224, 48.87112601743505], [2.3430519671639956, 48.87112139307357], [2.343023393121948, 48.87104176064404], [2.3430233991220626, 48.87104128492596]]], ""type"": ""Polygon""}";48.871110671522985, 2.343007057618184
CP002402;692131;75010;11;2;SNCF;DEMOLITION_IMMEUBLE;Démolition immeuble SNCF;Rue du Faubourg Saint Denis;Sur trottoir entre les n° 177 et 179ter;2022-10-24;2023-08-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.35758334012592, 48.88054464574545], [2.3577578040761042, 48.8808787101993], [2.35781929321381, 48.8808659529801], [2.357660827566672, 48.88055101059501], [2.3576231398554537, 48.88053534168284], [2.3575779872197455, 48.880539858660214], [2.35758334012592, 48.88054464574545]]], ""type"": ""Polygon""}";48.88070351756165, 2.357701537972016
CP001565;122108;75018;9;3;Immobilière  3F;CONSTRUCTION_IMMEUBLE;;Rue du Poteau;N°106;2020-01-06;2022-09-30;RESTREINTE;neutralisation de la voie bus;2;2;;"{""coordinates"": [[[2.3376812938447, 48.897636979456934], [2.3377305108231776, 48.89759799006167], [2.3378748852580893, 48.89745483164698], [2.33781378020052, 48.89743545790621], [2.3376236007844913, 48.897633090982154], [2.3376812938447, 48.897636979456934]]], ""type"": ""Polygon""}";48.89753715687948, 2.337752843166672
